Time_sec,PC1,PC2,PC3
0,0.03080954952000232,0.14171270328176994,-0.032981810695977644
1,-0.043526557996219455,0.07461652198117531,-0.04823358114686284
2,-0.13183816063353784,0.04621994561448309,0.05997999502851317
3,-0.1810246661790884,0.08580787824517068,0.06879824497204899
4,-0.2106727638914228,0.08989999340335672,-0.020345123981289244
5,-0.22724020886654955,0.0009495648220688482,-0.059606062612464226
6,-0.21535211116393993,-0.08459774690622518,-0.014573210285634191
7,-0.14385612985071922,-0.11016704588104588,-0.011452410501896972
8,-0.060964395354223384,-0.12373210688374622,-0.01113749592091833
9,-0.003338941490082878,-0.08589570461010829,0.0420065369819947
10,0.03597768623050381,-0.030769057269715887,0.045276336843497376
11,0.059664665921580436,0.014710415147595857,-0.0027603249143882723
12,0.05388537087341207,0.01427784243184293,-0.005544110217411051
13,0.021256471475216455,0.029744052162517593,0.03133641656727202
14,0.004845386153015422,0.046528836865568926,0.00586413422040869
15,-0.002523236084509739,0.02204298049303559,-0.03944120116505738
16,-0.007223279502334084,-0.018845415436335323,-0.02737024683202607
17,-0.016989245114796624,-0.03007481148357717,0.03745827930509949
18,-0.04717037368997463,0.053844229940062625,0.08714476856969208
19,-0.06250873390921229,0.08810783154919728,0.006372207846212179
20,-0.06193722258635574,0.015035927449608457,-0.10171065951046969
21,-0.05622104545305687,-0.08781670792273927,-0.04670165807738194
22,-0.04956005943606269,-0.07941647250789195,0.0876780173015802
23,-0.028218675717146497,0.0364514619777316,0.06829890838200793
24,-0.05364715789764182,0.09117610757953862,0.016021341216684446
25,-0.07076117559196439,0.04110538947231445,-0.05721123607376345
26,-0.057585771817569055,-0.061333629540853606,-0.07683186923078887
27,-0.03505351587347664,-0.1055683485262951,0.014739432946863968
28,-0.005157997130362365,-0.0481276526151024,0.07794924453213666
29,0.019970642031839615,0.036561824075657647,0.027996039163588962
30,0.05114677989844947,0.0015918791754993607,-0.07780015858664296
31,0.08359851573866547,-0.09938737465027302,-0.0789788245844515
32,0.12161969885736579,-0.11561012357445864,0.028607620973156406
33,0.15927388505386034,-0.03826630205249782,0.06810441852553677
34,0.18483382737381637,0.04581895340360389,-0.0020488351393774884
35,0.17785401649995355,0.026796798655372253,-0.0504065951611161
36,0.18120294880954738,-0.033246002314496745,-0.055933577461412816
37,0.1803082617360032,-0.044503615799552754,0.010371386863561462
38,0.17374264524867983,0.01469274027761308,0.05599481096275981
39,0.17261732957794948,0.054274620758556553,-0.005042598477586862
40,0.1453907197757435,0.04954273134154539,-0.03470898744016919
41,0.07137943284173807,0.05256220347828516,0.04915304389329579
42,0.014370353382407944,0.10333201412153563,0.05445632431805863
43,0.007105047095714825,0.07245299859581747,-0.08420303294454833
44,-0.010948514512717594,-0.038004975804903814,-0.08167881060829242
45,-0.04728077467746631,-0.04853740494641594,0.09390612102857328
46,-0.04502746491354714,0.048535860798373215,0.08734250171911039
47,-0.04700388623300879,0.09392527518327543,-0.042293589201341034
48,-0.0658359426122434,-0.002425909475794127,-0.0686718935277662
49,-0.06635981377878225,-0.06800415876262637,-0.008108584486230367
50,-0.0448249519839165,-0.04372227526526869,0.04115134491024031
51,-0.005776769852961302,-0.024905335230569328,0.008976799401538654
52,0.023826225144444175,-0.020805857414432444,-0.03088710864773332
53,0.02291927480744695,-0.02810093934542945,0.023225469298454635
54,0.03925845443133208,-0.016278237508793737,0.014560250482933818
55,0.06857235531623841,-0.0041763705530184474,-0.036106398821808196
